"","TSNE_1","TSNE_2"
"C231122001_CELL3740_N1",-17.7079486295819,-37.5720384144605
"C231122001_CELL3762_N1",-15.0266771046414,12.1133353810212
"C231122001_CELL3783_N1",35.8720490355218,-12.1512542126767
"C231122001_CELL3809_N1",-15.9113177788682,-11.1142890774859
"C231122001_CELL391_N1",0.0336340152606077,-30.0253088697996
"C231122001_CELL3954_N1",-26.3153771923723,-1.61368286501973
"C231122001_CELL397_N2",-13.8618126980522,1.49950737794541
"C231122001_CELL402_N3",-11.2726195518595,-33.4165856454271
"C231122001_CELL4043_N1",17.2920874991716,-31.87566922018
"C231122001_CELL405_N2",-15.4132117899971,11.9065170349121
"C231122001_CELL4063_N1",-16.5435225764015,-36.6411065517844
"C231122001_CELL410_N2",-27.4597945774802,-17.3835253927265
"C231122001_CELL4112_N1",-8.72093646713216,-39.0683918392089
"C231122001_CELL4151_N1",23.9684727939868,-46.1408735651241
"C231122001_CELL4167_N1",13.3068622709509,0.359671313332636
"C231122001_CELL4183_N1",-36.4298204847769,4.05327089158194
"C231122001_CELL418_N2",-7.55114534558683,34.0769784100793
"C231122001_CELL4262_N1",12.7267807783444,23.1745657597721
"C231122001_CELL4296_N1",-39.1423476668504,-18.3255237183181
"C231122001_CELL4343_N1",-26.3577449819965,-17.2959086009759
"C231122001_CELL4360_N1",-18.7898891419544,-22.6942010760475
"C231122001_CELL4376_N1",-1.01892461753176,-22.2529197265216
"C231122001_CELL4427_N1",-44.4161463018829,-19.3630553031998
"C231122001_CELL4432_N1",-15.2902867490889,-36.5315488096384
"C231122001_CELL4457_N1",-51.8401943832891,16.971190660153
"C231122001_CELL4495_N1",-17.9174637314344,-38.0903358830002
"C231122001_CELL4505_N1",-32.9986067516422,-10.5673117620627
"C231122001_CELL4513_N1",16.4421337143772,-33.3621972067708
"C231122001_CELL4524_N1",25.9066274731369,-39.868013609182
"C231122001_CELL4556_N1",-29.3690429454207,11.5528118614005
"C231122001_CELL4586_N1",-13.9458725918821,-36.3884193029582
"C231122001_CELL4717_N1",28.7226756917983,-41.7751156136577
"C231122001_CELL4726_N1",-28.3722564419255,31.2988243367254
"C231122001_CELL4783_N1",28.5801229210357,-50.45329216248
"C231122001_CELL479_N1",-17.6671201190261,-5.08848745114326
"C231122001_CELL4815_N1",-8.22644775516238,-47.0447083655882
"C231122001_CELL4819_N1",6.88206882473234,-30.3405233304732
"C231122001_CELL4820_N1",23.1339880873069,-47.7402309385249
"C231122001_CELL4877_N1",29.653886818726,-36.9903561217666
"C231122001_CELL4899_N1",-12.7395095178483,-36.0829833521578
