,TSNE_1,TSNE_2,label
C230517005_CELL1767_N2,-0.723219895392485,-50.3667170341536,3
C230517005_CELL1770_N2,-39.6098042653238,14.7978571256987,0
C230517005_CELL1777_N2,-40.1976043586036,7.62383526128195,0
C230517005_CELL1788_N2,9.73063732033072,-23.6067757529612,3
C230517005_CELL1789_N2,22.8270785932267,20.7678488461859,1
C230517005_CELL1803_N2,-21.3015043106246,-38.3606138683802,3
C230517005_CELL1809_N2,13.8291587970538,9.56649445570816,2
C230517005_CELL1810_N2,-19.4519355829311,-51.2002514488937,3
C230517005_CELL1811_N2,6.43893463093568,-18.4196794045664,3
C230517005_CELL1812_N1,26.482070854074,-6.11740156799472,1
C230517005_CELL1826_N2,-39.5437920276056,-42.165041069202,3
C230517005_CELL1836_N2,12.3330812136618,-37.2850591241361,3
C230517005_CELL1843_N1,33.3791009881127,9.45248826023302,1
C230517005_CELL1853_N2,-12.0416710242398,-50.1219062732982,3
C230517005_CELL1867_N2,-8.24855106203063,-28.876511347774,3
C230517005_CELL1871_N2,-6.84911757908974,12.8281070806675,2
C230517005_CELL1872_N2,20.6128328685679,-11.5526984296914,1
C230517005_CELL1876_N2,53.4231333699573,-11.0049126283586,1
C230517005_CELL1879_N2,-40.4943636007195,10.4710361081976,0
C230517005_CELL1881_N2,57.6590476273385,-2.68131258363151,1
C230517005_CELL1887_N3,15.9873138528851,-30.908754230638,3
C230517005_CELL1892_N2,4.24616715438666,-62.7899834139251,3
C230517005_CELL1917_N2,4.42284181449177,-62.9071321256442,3
C230517005_CELL1923_N2,59.6921213169318,-19.0311844090872,1
C230517005_CELL1925_N3,-21.6604740130984,47.0668101103818,2
C230517005_CELL1940_N3,22.9458380360609,-51.2368861062041,3
C230517005_CELL1961_N1,-12.2494234335358,-51.9450688427054,3
C230517005_CELL1962_N2,-29.190780863051,-45.2638823915291,3
C230517005_CELL1966_N2,38.7999513903936,45.3262833457075,1
C230517005_CELL1968_N2,8.03833127991019,9.4874864192076,2
C230517005_CELL1970_N3,49.8030690518627,-2.98933656931492,1
C230517005_CELL1974_N2,-15.5570192376253,33.362607999138,2
C230517005_CELL1984_N2,18.7908088700598,-50.7009103853277,3
C230517005_CELL1987_N2,-37.5631648986459,-28.1204442457305,0
C230517005_CELL1989_N2,6.81231484135096,7.67828805689255,2
C230517005_CELL1991_N3,17.3281376366538,-1.43211095934606,1
C230517005_CELL1992_N2,17.6830023471492,-1.88087862985562,1
C230517005_CELL1997_N2,-8.5394489563171,-32.3104327459967,3
C230517005_CELL1998_N3,4.22607659448435,-62.756353403585,3
C230517005_CELL2013_N1,1.39925655481126,-5.02920702399586,3
C230517005_CELL2014_N2,31.3811096271901,-13.8293991685694,1
C230517005_CELL2023_N2,28.9654289406871,14.221635910343,1
C230517005_CELL2037_N2,19.3449553798132,-40.6002316657361,3
C230517005_CELL203_N5,-22.4138542173058,23.648173664026,2
C230517005_CELL2048_N2,-13.1139644689459,-24.8604851802019,3
C230517005_CELL2052_N2,-24.9651018092715,31.2614357243528,2
C230517005_CELL205_N2,-15.1494290820458,55.4812195025371,2
C230517005_CELL2066_N2,-3.00186176134541,-54.1066345129713,3
C230517005_CELL2069_N4,-40.7301395004578,-41.8724658044611,3
C230517005_CELL2070_N2,-26.6257393754516,45.1535410022916,2
C230517005_CELL2083_N1,-43.3658760192351,-12.1720747730173,0
C230517005_CELL2087_N2,13.3146089741351,-37.0776470748305,3
C230517005_CELL2104_N3,-28.2085179200772,-35.9978362614621,3
C230517005_CELL210_N2,-16.1211836716075,18.6218479874242,2
C230517005_CELL2114_N2,-23.7832122762812,48.6158959192895,2
C230517005_CELL2120_N2,19.2360136115396,-6.18925557674526,1
C230517005_CELL2126_N2,41.0601941751125,-25.0435918397608,1
C230517005_CELL2136_N2,-44.9666751873067,21.5608751381138,0
C230517005_CELL2175_N3,-4.29827302978632,-61.0261476196817,3
C230517005_CELL2180_N3,-41.6377926979904,-35.261461120502,3
C230517005_CELL2194_N6,-3.91704555631448,-58.6661239450925,3
C230517005_CELL2195_N2,43.3105990919799,3.38419017880391,1
C230517005_CELL21_N1,20.0502790789565,21.0813194360774,2
C230517005_CELL2202_N2,31.6016878981182,16.7995506808105,1
C230517005_CELL2216_N2,21.2279287883949,-51.9200891291719,3
C230517005_CELL2218_N2,-8.26626713549549,-33.2823458684192,3
C230517005_CELL2227_N2,42.3017651331577,-14.8731870961936,1
C230517005_CELL2239_N1,61.9416901666439,1.80956408878658,1
C230517005_CELL223_N3,-2.3585422791762,-54.84185506304,3
C230517005_CELL2267_N1,23.9450385900454,-51.3574072041863,3
C230517005_CELL2268_N1,55.213858827627,14.4745597751103,1
C230517005_CELL227_N1,25.488261094587,32.2658019426213,2
C230517005_CELL2282_N1,-22.2946369041703,-30.6499639292222,3
C230517005_CELL2299_N1,11.4085417361031,0.942321593276986,1
C230517005_CELL2312_N1,-10.8742800167509,62.2764827569488,2
C230517005_CELL2317_N1,41.1256215448463,-10.5831404108759,1
C230517005_CELL2330_N1,24.9364743800326,8.9278182862519,1
C230517005_CELL2373_N1,20.4125282138175,34.499827614361,2
C230517005_CELL2378_N1,10.9231058627798,-2.04508578811106,1
C230517005_CELL2434_N1,30.1198720037441,7.59744190699638,1
C230517005_CELL243_N2,-27.8633818483737,-38.2727440868428,3
C230517005_CELL2445_N1,3.50340113203167,-32.6687548225044,3
C230517005_CELL2453_N1,50.3099065257179,25.7400377683172,1
C230517005_CELL2489_N1,-15.3821588920575,-22.5133155071702,3
C230517005_CELL2492_N1,38.2209204627575,23.2048572049635,1
C230517005_CELL2494_N1,-6.3014632314675,53.3755115426832,2
C230517005_CELL2496_N1,-18.0133597190951,-51.2913196046201,3
C230517005_CELL253_N1,41.824517614589,2.83036979356942,1
C230517005_CELL2542_N1,10.634986436252,-2.92532693628765,1
C230517005_CELL2576_N1,19.8998171588737,-10.3016291560758,1
C230517005_CELL2577_N1,8.19217858871614,18.6354248819909,2
C230517005_CELL2586_N1,-7.44527622228826,-27.9659863937886,3
C230517005_CELL258_N2,-42.9156312022286,-34.5289279748292,0
C230517005_CELL2593_N1,-10.393127158981,36.2777000801752,2
C230517005_CELL2596_N1,1.61975395000182,-49.033252794093,3
C230517005_CELL25_N1,53.4268756642744,-11.009612840448,1
C230517005_CELL2612_N1,-29.2058707619577,41.0707912340023,2
C230517005_CELL261_N2,9.70488410709362,-20.3585511661712,3
C230517005_CELL263_N2,66.2576921340563,-17.5236544111853,1
C230517005_CELL2644_N1,53.4805608206003,-36.1097392813023,1
C230517005_CELL2646_N1,30.7459990369142,-14.4689430727169,1
C230517005_CELL2652_N1,11.0599136277002,-29.5369399425505,3
C230517005_CELL266_N2,36.5975800615034,-4.8817729481774,1
C230517005_CELL268_N3,6.0431775699984,-27.8050038859151,3
C230517005_CELL270_N2,0.351532853824214,-42.2078650283514,3
C230517005_CELL2717_N1,-33.2313309299172,-41.3983133675751,3
