"","TSNE_1","TSNE_2"
"C231122001_CELL4513_N1",17.9859936002623,-26.6755646066236
"C231122001_CELL4524_N1",28.7692653746744,-40.6010793285246
"C231122001_CELL4556_N1",-26.5717516043236,6.71200498284007
"C231122001_CELL4586_N1",-12.7545406574192,-34.5412652205514
"C231122001_CELL4717_N1",33.7353400983087,-40.2659640808173
"C231122001_CELL4726_N1",-31.9685521688465,35.0448683547841
"C231122001_CELL4783_N1",38.5469411346114,-46.438021945023
"C231122001_CELL479_N1",-22.1648732753874,-1.33855444779147
"C231122001_CELL4815_N1",-5.62639928530705,-46.6161661995668
"C231122001_CELL4819_N1",7.59594513607805,-28.5145625877933
"C231122001_CELL4820_N1",22.7271975697547,-36.4714950022441
"C231122001_CELL4877_N1",31.7918051866465,-36.6271571572259
"C231122001_CELL4899_N1",-11.7660535862211,-33.8726646709705
"C231122001_CELL4939_N1",6.30239769237762,6.0188395354494
"C231122001_CELL496_N1",0.112572353522967,-31.9498301244555
"C231122001_CELL4980_N1",-6.46898022353911,-29.4982184914338
"C231122001_CELL517_N1",35.0965865140576,-24.1935799802465
"C231122001_CELL536_N1",-30.740973347212,-28.4682618148893
"C231122001_CELL576_N2",-53.5712223054394,9.24603056251425
"C231122001_CELL582_N2",-44.0492650609898,-5.27899541502306
"C231122001_CELL602_N2",-15.6437016852839,-41.2278792830273
"C231122001_CELL646_N2",-18.9124775454451,5.52092082449874
"C231122001_CELL68_N3",11.2034364860911,16.8279207068929
"C231122001_CELL730_N3",-48.337861805776,3.60939597450162
"C231122001_CELL766_N1",-20.2637990452778,15.8011198756938
"C231122001_CELL78_N1",-15.9338885735169,-40.8575990210266
"C231122001_CELL795_N2",-19.609905461631,-21.6009103141953
"C231122001_CELL823_N1",-11.8107016078636,-29.0047651941537
"C231122001_CELL839_N2",-15.9856048735413,-18.6821111554311
"C231122001_CELL843_N3",-20.7900139428212,-28.9876426753296
"C231122001_CELL844_N1",-20.9004654348329,-29.3545021675909
"C231122001_CELL855_N1",28.0434767777451,-40.4944471035393
"C231122001_CELL859_N1",-11.4279944834787,-31.4977393684993
"C231122001_CELL902_N1",27.0453058938749,-32.5243179752948
"C231122001_CELL911_N2",-11.1095966171928,13.5610062665026
"C231122001_CELL920_N3",3.85205562757843,57.9495021660769
"C231122001_CELL931_N3",-0.30046086886538,-2.21181318919762
"C231122001_CELL944_N3",18.5228256952952,16.0560526712237
"C231122001_CELL961_N3",-55.6903481772301,10.7330720870381
"C231122002_CELL1027_N2",-0.428720356082764,10.9145486446712
"C231122002_CELL1059_N3",-2.56624086622515,58.5350756408482
"C231122002_CELL1065_N2",-45.4708621373458,-8.27356448252014
"C231122002_CELL1081_N2",-16.0624310937365,-11.0608811224174
"C231122002_CELL1095_N2",-40.9275148499037,-13.2101899809791
"C231122002_CELL1104_N2",-40.4404586782569,-8.76217532767152
"C231122002_CELL1110_N3",-32.5660386875629,35.16317548454
"C231122002_CELL1134_N2",-11.4148001767876,-8.31886519044667
"C231122002_CELL1160_N2",-4.0023894859373,-45.6890645339962
"C231122002_CELL1173_N2",-50.2820410474657,16.0325164089743
"C231122002_CELL1188_N3",-14.4750447371056,51.65268308418
"C231122002_CELL1190_N2",-31.0376373761713,-24.4574468715501
"C231122002_CELL1194_N2",-31.5216533342423,-39.5529731847585
"C231122002_CELL1195_N2",12.7908124598541,15.2690273968688
"C231122002_CELL1197_N3",6.57438864460787,2.53310203048081
"C231122002_CELL1202_N4",-29.1912515086923,-8.32906351512731
"C231122002_CELL1204_N3",-19.8054627593176,-13.8432884867944
"C231122002_CELL1229_N2",-7.65579058635381,-22.9014797003812
"C231122002_CELL1236_N1",-7.19326653766843,-19.1827427969196
"C231122002_CELL1251_N2",12.8819519134487,15.0329809674084
"C231122002_CELL1276_N1",5.96891313409119,-33.6568329108898
"C231122002_CELL134_N2",-29.286782509657,-34.9235512584115
"C231122002_CELL1367_N2",-29.7784835104611,-25.2502935330933
"C231122002_CELL1371_N2",-14.2393209878629,51.9015567947199
"C231122002_CELL1389_N3",39.722232957556,23.3648371391615
"C231122002_CELL1410_N3",-18.1201394265229,-10.3902085201663
"C231122002_CELL1414_N2",-10.1475501432958,-7.77999792401992
"C231122002_CELL1484_N3",14.33180750613,18.4482938312109
"C231122002_CELL149_N2",-14.9746380538843,26.6609347626449
"C231122002_CELL1513_N1",-0.801115101093441,-33.0359063880636
"C231122002_CELL1526_N3",-42.5492645085805,-19.9444706644815
"C231122002_CELL1536_N1",-16.2188962880887,-40.7688468514968
"C231122002_CELL1550_N2",-49.1500559591783,14.9619175657644
"C231122002_CELL1561_N2",21.8841901358358,-4.40508291123466
"C231122002_CELL1591_N2",-2.52853031439576,58.742762969518
"C231122002_CELL1600_N2",-13.6924127452197,-38.9618581982394
"C231122002_CELL1620_N2",-40.4749607291172,11.8555172214492
"C231122002_CELL1635_N4",-61.5709887214175,-3.5481626154627
"C231122002_CELL1648_N2",-38.2256151974768,-22.321141421319
"C231122002_CELL165_N5",-15.6178140765125,18.7381002423259
"C231122002_CELL1665_N2",-13.706415163096,-38.9335772467897
"C231122002_CELL1718_N2",5.17394933600659,3.2221091980586
"C231122002_CELL1733_N2",26.5016109337873,26.8338297873176
"C231122002_CELL175_N1",-19.2324554593857,-13.1063190523665
"C231122002_CELL1775_N2",-9.45108827915347,-7.43906884029153
"C231122002_CELL1830_N2",-17.5330271933304,-34.1486671162123
"C231122002_CELL1849_N2",-7.08857406475687,33.597056251934
"C231122002_CELL1889_N3",10.1235775747578,-36.2460226956504
"C231122002_CELL1937_N1",29.7623285229665,-39.9516360658911
"C231122002_CELL2062_N1",-13.9781487981598,-11.0860405134715
"C231122002_CELL2068_N1",6.25409222457514,-35.1948368390107
"C231122002_CELL2073_N1",-8.71071895368852,-1.20402739039928
"C231122002_CELL2116_N1",-34.6665893941352,-4.95440750688671
"C231122002_CELL2179_N1",-13.2121049781995,-20.8540708021799
"C231122002_CELL21_N2",-12.3060773403073,0.558674994560384
"C231122002_CELL2229_N1",30.4899334289137,24.9231762358863
"C231122002_CELL2273_N1",-29.0960584015812,-35.2900931126788
"C231122002_CELL2274_N1",-17.3752340251307,-37.7580916482541
"C231122002_CELL2299_N1",10.0704344294734,-37.4315720372417
"C231122002_CELL2342_N1",39.0892498497875,-43.4641810548115
"C231122002_CELL2364_N1",-60.8893656057476,-4.19638853668878
"C231122002_CELL2396_N1",-39.3003486758861,-17.0744209160445
"C231122002_CELL240_N3",-0.793146926418737,-2.76207226086386
"C231122002_CELL2445_N1",-26.9576113735087,-36.691171392471
"C231122002_CELL2512_N1",-15.8071326421281,-12.7997236112138
"C231122002_CELL2538_N1",21.5914014844347,-39.9651092510779
"C231122002_CELL2557_N1",-20.6944490826604,-28.2274605531456
"C231122002_CELL260_N3",-5.79310859374109,1.76844621791918
"C231122002_CELL264_N1",11.2364053135679,-9.1891868348954
"C231122002_CELL2686_N1",-43.5026573796195,-6.05236651530002
"C231122002_CELL2694_N1",-9.26878514070022,49.12759965882
"C231122002_CELL274_N5",-3.92935778270872,-27.248233080166
"C231122002_CELL2796_N1",-19.1899058606632,-12.9100088404715
"C231122002_CELL2899_N1",17.6252987576603,-25.195375296531
"C231122002_CELL2929_N1",-18.4570539063844,-50.2213026596475
"C231122002_CELL2942_N1",-4.50521023586366,-4.5097665586056
"C231122002_CELL2945_N1",-16.858629827239,-27.5966517759408
"C231122002_CELL2979_N1",-40.4507892102888,-24.0727693191289
"C231122002_CELL2981_N1",-26.0458288604565,7.62109287783333
"C231122002_CELL3013_N1",-12.8481146899587,-27.3129665384513
"C231122002_CELL3080_N1",19.0477264182086,-10.9417481464038
"C231122002_CELL3082_N1",12.77883238665,-1.62964989260527
"C231122002_CELL3096_N1",33.7650067053247,-38.939983858595
"C231122002_CELL3106_N1",-29.2263673829146,-25.8311498196662
"C231122002_CELL317_N3",-56.4223867021052,10.9223321732597
"C231122002_CELL3210_N1",1.84359111067737,-48.5888109347373
"C231122002_CELL3212_N1",-30.1299591990924,-24.7485244131398
"C231122002_CELL332_N2",-12.3925230452271,-7.76858429246508
"C231122002_CELL3415_N1",-47.9127496312327,-10.2035384800502
"C231122002_CELL344_N2",-23.464840562439,-19.5740468034453
"C231122002_CELL3480_N1",-17.8823191989982,-22.085037120346
"C231122002_CELL3488_N1",-12.1722580527359,-34.7174023235656
"C231122002_CELL3502_N1",-17.5156864179101,-34.1912809078393
"C231122002_CELL353_N1",37.6916381610242,-42.745875673561
"C231122002_CELL3545_N1",10.4090583768874,-8.54113962014166
"C231122002_CELL354_N4",-20.9088589733092,-10.1910833711837
"C231122002_CELL3661_N1",1.07512364542717,-48.7511357497048
"C231122002_CELL366_N4",-32.1026124799111,-12.8819544844362
"C231122002_CELL3672_N1",-43.8707884865949,-10.2249619719676
