,TSNE_1,TSNE_2,label
C230517007_CELL1107_N3,-22.1491528079244,-23.0794112370708,4
C230517007_CELL110_N1,39.1123404701302,-20.9002177695852,3
C230517007_CELL1110_N2,16.8462727298164,-42.8404982120605,0
C230517007_CELL1115_N3,-22.0972413121299,0.24009595722882,4
C230517007_CELL1118_N2,19.742126150639,-9.60362241146939,3
C230517007_CELL111_N1,48.9062957416694,-32.2472398966319,3
C230517007_CELL1124_N1,22.8050830875221,32.135207024045,1
C230517007_CELL1128_N2,3.63167549984328,-40.4621417159456,0
C230517007_CELL1136_N2,-29.5757879674336,-20.4574945045804,4
C230517007_CELL1141_N3,36.8689579007354,35.6090453359063,1
C230517007_CELL1143_N2,35.4098779256821,-47.4611234070942,0
C230517007_CELL1149_N2,24.6046654456302,-51.080252268005,0
C230517007_CELL1152_N1,-49.7236200229327,16.9315980153934,2
C230517007_CELL1153_N3,-51.5931671356569,-15.3506247003836,4
C230517007_CELL1154_N2,20.4762794535041,-42.7321288509418,0
C230517007_CELL1159_N2,20.4478216993686,-8.92724386768976,3
C230517007_CELL1163_N3,-10.7434130012681,0.61723168440478,4
C230517007_CELL1166_N2,15.6564371654655,-28.9141309228721,0
C230517007_CELL1170_N3,20.029551125631,-54.7766359901854,0
C230517007_CELL1173_N3,41.70023903744,-26.2728545294337,3
C230517007_CELL1182_N4,2.60796599406157,-40.4012467766321,0
C230517007_CELL1195_N3,-39.2996046639643,-12.2599162079457,4
C230517007_CELL1197_N2,22.0276387922662,-9.39072980509874,3
C230517007_CELL11_N1,26.5098732798677,14.6319021862001,3
C230517007_CELL1203_N3,47.5965124905493,8.20208184036028,3
C230517007_CELL1206_N4,-3.0850614670747,-59.9956531971931,0
C230517007_CELL1207_N2,12.6797943406008,-68.1755126321364,0
C230517007_CELL1211_N2,-2.25827218974027,12.9014731776926,1
C230517007_CELL1214_N1,-8.55076768366549,41.7723825107836,1
C230517007_CELL1217_N2,51.507121847314,-17.3076085511327,3
C230517007_CELL1225_N2,-18.1377193103277,10.8283809708693,2
